country,year,gdp_per_capita,gdp
China,2000,959.3724836,1211350000000.0
China,2001,1053.108243,1339400000000.0
China,2002,1148.50829,1470550000000.0
China,2003,1288.643252,1660290000000.0
China,2004,1508.668098,1955350000000.0
China,2005,1753.417829,2285970000000.0
China,2006,2099.229435,2752130000000.0
China,2007,2693.970063,3550340000000.0
China,2008,3468.304602,4594310000000.0
China,2009,3832.236432,5101700000000.0
China,2010,4550.453108,6087160000000.0
China,2011,5618.132267,7551500000000.0
China,2012,6316.918318,8532230000000.0
China,2013,7050.646271,9570410000000.0
China,2014,7678.599486,10475700000000.0
China,2015,8066.942635,11061600000000.0
China,2016,8147.937705,11233300000000.0
China,2017,8879.438667,12310400000000.0
China,2018,9976.677137,13894800000000.0
Ethiopia,2000,124.4607909,8242392104.0
Ethiopia,2001,120.7657837,8231326016.0
Ethiopia,2002,111.9272251,7850809498.0
Ethiopia,2003,119.490396,8623691300.0
Ethiopia,2004,136.46625,10131187261.0
Ethiopia,2005,162.4327286,12401139454.0
Ethiopia,2006,194.6874329,15280861835.0
Ethiopia,2007,244.2860523,19707616773.0
Ethiopia,2008,326.4368228,27066912635.0
Ethiopia,2009,380.5690032,32437389116.0
Ethiopia,2010,341.5541227,29933790334.0
Ethiopia,2011,354.4795719,31952763089.0
Ethiopia,2012,467.0778718,43310721414.0
Ethiopia,2013,499.5315302,47648211133.0
Ethiopia,2014,566.9264029,55612228234.0
Ethiopia,2015,640.5419231,64589334979.0
Ethiopia,2016,717.1248698,74296618481.0
Ethiopia,2017,768.5230154,81770791971.0
Ethiopia,2018,771.5248663,84269348327.0
India,2000,443.3141938,468395000000.0
India,2001,451.5729973,485441000000.0
India,2002,470.9867868,514938000000.0
India,2003,546.7266135,607699000000.0
India,2004,627.7742417,709149000000.0
India,2005,714.8610154,820382000000.0
India,2006,806.7532806,940260000000.0
India,2007,1028.334772,1216740000000.0
India,2008,998.5223415,1198900000000.0
India,2009,1101.960838,1341890000000.0
India,2010,1357.563727,1675620000000.0
India,2011,1458.104066,1823050000000.0
India,2012,1443.882435,1827640000000.0
India,2013,1449.610451,1856720000000.0
India,2014,1573.885642,2039130000000.0
India,2015,1605.605445,2103590000000.0
India,2016,1732.554242,2294800000000.0
India,2017,1980.66702,2651470000000.0
India,2018,1996.915087,2701110000000.0
United States,2000,36334.90878,10252300000000.0
United States,2001,37133.24281,10581800000000.0
United States,2002,38023.16111,10936400000000.0
United States,2003,39496.48588,11458200000000.0
United States,2004,41712.80107,12213700000000.0
United States,2005,44114.74778,13036600000000.0
United States,2006,46298.73144,13814600000000.0
United States,2007,47975.9677,14451900000000.0
United States,2008,48382.55845,14712800000000.0
United States,2009,47099.98047,14448900000000.0
United States,2010,48466.6576,14992100000000.0
United States,2011,49882.55813,15542600000000.0
United States,2012,51602.93105,16197000000000.0
United States,2013,53106.53677,16784800000000.0
United States,2014,55049.98833,17527200000000.0
United States,2015,56863.3715,18238300000000.0
United States,2016,58021.4005,18745100000000.0
United States,2017,60109.65573,19543000000000.0
United States,2018,63064.41841,20611900000000.0
